Periodo,Mes Tarifa,Dias,Q_mensual (kWh),Q_punta (kWh),D_punta (kW),D_maxima (kW),FC_BD (%),FC_Calc (%),Diff FC (pp),Q/(24*d*FC_BD),D_fact_pre (kW),Q/(24*d*FC_Calc),D_fact_rec (kW),Tarifa Cap ($/kW),Cargo_Cap_FC_BD ($),Cargo_Cap_FC_Calc ($),Diff Cargo ($)
Enero,ENERO,31,434546.0,64676.0,785.0,820.0,71.23,71.23,0.0,819.97,785.0,820.0,785.0,431.76,338931.6,338931.6,0.0
Febrero,FEBRERO,28,417720.0,63718.0,902.0,902.0,68.91,68.91,0.0,902.06,902.0,902.0,902.0,432.44,390060.88,390060.88,0.0
Marzo,MARZO,31,404989.0,61207.0,912.0,925.0,58.85,58.85,0.0,924.96,912.0,925.0,912.0,432.62,394549.44,394549.44,0.0
Abril sub-periodo 1,ABRIL,5,83780.0,14380.0,961.0,962.0,72.57,72.57,0.0,962.06,961.0,962.0,961.0,432.62,415747.82,415747.82,0.0
Abril sub-periodo 2,ABRIL,25,355572.0,25421.0,908.0,1024.0,57.87,57.87,0.0,1024.05,908.0,1024.0,908.0,432.62,392818.96,392818.96,0.0
Mayo,MAYO,31,457934.0,33808.0,924.0,1131.0,54.42,54.42,0.0,1131.02,924.0,1131.0,924.0,432.62,399740.88,399740.88,0.0
Junio,JUNIO,30,459180.0,34376.0,939.0,1115.0,57.2,57.2,0.0,1114.95,939.0,1115.0,939.0,442.9,415883.1,415883.1,0.0
Julio,JULIO,31,467646.0,34599.0,905.0,1099.0,57.19,57.19,0.0,1099.07,905.0,1099.0,905.0,449.54,406833.7,406833.7,0.0
Agosto,AGOSTO,31,482545.0,35066.0,934.0,1149.0,56.45,56.45,0.0,1148.95,934.0,1149.0,934.0,450.17,420458.78,420458.78,0.0
Septiembre,SEPTIEMBRE,30,451295.0,34085.0,902.0,1102.0,56.88,56.88,0.0,1101.97,902.0,1102.0,902.0,446.05,402337.1,402337.1,0.0
Octubre Sub-periodo 1,OCTUBRE,25,389434.0,27396.0,855.0,1010.0,64.26,64.26,0.0,1010.05,855.0,1010.0,855.0,446.06,381381.3,381381.3,0.0
Octubre Sub-periodo 2,OCTUBRE,6,87980.0,13761.0,845.0,875.0,69.83,69.83,0.0,874.94,845.0,875.0,845.0,446.06,376920.7,376920.7,0.0
Noviembre,NOVIEMBRE,30,392418.0,54327.0,772.0,896.0,60.83,60.83,0.0,895.98,772.0,896.0,772.0,432.66,334013.52,334013.52,0.0
Diciembre,DICIEMBRE,31,346348.0,48397.0,733.0,817.0,68.78,56.98,11.8,676.83,676.0,817.0,733.0,411.03,277856.28,301284.99,23428.71
TOTAL ANUAL,,365,5231387.0,545217.0,,,,,,,,,,,5347534.060000001,5370962.770000001,23428.709999999963
